sku;descripcion;descripcion2;long_desc;img_ambiente;img;Cod_producto;Patas regulables (sí/no);Para uso interior (sí/no);Densidad de la espuma del respaldo;Plegable (sí/no);Acabado de las patas;Material de las patas;Reclinable (sí/no);Material del relleno del asiento;Número de plazas;País de origen;Para uso bajo cubierto (sí/no);Para uso exterior (sí/no);Materiales;Asiento acolchado (sí/no);Construcción de la estructura;Acabado principal;Tipo y especificación del tejido;Composición del tejido;Material del relleno;Densidad de la espuma;Forma del producto;Material principal;Color principal;Temporada;Año de publicación;Fabricado con materiales reciclados (sí/no);Fabricado con materiales naturales (sí/no);Colores;Temporada de compra;Tipo de silla;Color de la pata;Tapizado (sí/no);Color del tapizado;Tapizado abotonado (sí/no);Material principal de las patas;Tipo de tapizado del respaldo;Material principal del reposabrazos;Estilo principal;Tipo de base/pata;Estancias;Porcentaje de materiales reciclados;Porcentaje de materiales naturales;Resistencia a la formación de bolitas;Solidez del color a la luz;Código de muestra de color
010108 1230190090 15;ILMA Plan. Espuma 1230x1900x90 15;15;ILS Plan. Espuma 1230x1900x90 15;;http://intranet.juliagrup.com/GestionDocumental/Documents/010108 1230190090 15/010108 1230190090 15·3A.jpg;010108 1230190090 15;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10117;ILMA Espuma asiento banqueta Yola;la;ILS Espuma asiento banqueta Yola;;http://intranet.juliagrup.com/GestionDocumental/Documents/010117/010117·3A.jpg;10117;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010118 160200;ILMA Cj. gomas preparado canapé Y006 160x200; Y006 160x200;ILS Cj. gomas preparado canapé Y006 160x200;;http://intranet.juliagrup.com/GestionDocumental/Documents/010118 160200/010118 160200·3A.jpg;010118 160200;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010118 180200;ILMA Cj. gomas preparado canapé Y006 180x200; Y006 180x200;ILS Cj. gomas preparado canapé Y006 180x200;;http://intranet.juliagrup.com/GestionDocumental/Documents/010118 180200/010118 180200·3A.jpg;010118 180200;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010119 5060;ILMA Relleno Y023 cd 50x70;;ILS Relleno Y023 cd 50x70;;http://intranet.juliagrup.com/GestionDocumental/Documents/010119 5060/010119 5060·3A.jpg;010119 5060;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010119 5060P;ILMA Relleno Y023 50x60 Tacto plumón;lumón;ILS Relleno Y023 50x60 Tacto plumón;;http://intranet.juliagrup.com/GestionDocumental/Documents/010119 5060P/010119 5060P·3A.jpg;010119 5060P;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010120 CU;ILMA Cuadrado espuma pieza suelta sofá Y080;ta sofá Y080;ILS Cuadrado espuma pieza suelta sofá Y080;;http://intranet.juliagrup.com/GestionDocumental/Documents/010120 CU/010120 CU·3A.jpg;010120 CU;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010120 RP;ILMA Espuma + guata respaldo base sofá Y080;se sofá Y080;ILS Espuma + guata respaldo base sofá Y080;;http://intranet.juliagrup.com/GestionDocumental/Documents/010120 RP/010120 RP·3A.jpg;010120 RP;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010121 BUT;ILMA Espuma 60x52x5 20k/dura pegado a bisel central;gado a bisel central;ILS Espuma 60x52x5 20k/dura pegado a bisel central;;http://intranet.juliagrup.com/GestionDocumental/Documents/010121 BUT/010121 BUT·3A.jpg;010121 BUT;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010208 1370190070 15;ILMA Plancha Espuma 1370x1900x70 15;0 15;ILS Plancha Espuma 1370x1900x70 15;;http://intranet.juliagrup.com/GestionDocumental/Documents/010208 1370190070 15/010208 1370190070 15·3A.jpg;010208 1370190070 15;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010210 BR10 25;ILMA Cj. Espuma Brazo 10 Atenas 120/140 25kg; 120/140 25kg;ILS Cj. Espuma Brazo 10 Atenas 120/140 25kg;;http://intranet.juliagrup.com/GestionDocumental/Documents/010210 BR10 25/010210 BR10 25·3A.jpg;010210 BR10 25;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10216;ILMA Cj. espuma butaca Fyna;;ILS Cj. espuma butaca Fyna;;http://intranet.juliagrup.com/GestionDocumental/Documents/010216/010216·3A.jpg;10216;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010218 140;ILMA Cabecero espuma cama Y005 140cm;140cm;ILS Cabecero espuma cama Y005 140cm;;http://intranet.juliagrup.com/GestionDocumental/Documents/010218 140/010218 140·3A.jpg;010218 140;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10219;Asiento 30kg puff Bogart;;Asiento 30kg puff Bogart;;http://intranet.juliagrup.com/GestionDocumental/Documents/010219/010219·3A.jpg;10219;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 G006;ILMA Espuma+guata prep. y062 brazo G006;azo G006;ILS Espuma+guata prep. y062 brazo G006;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 G006/010220 G006·3A.jpg;010220 G006;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 G012;ILMA Espuma+guata prep. y062 respaldo G012;spaldo G012;ILS Espuma+guata prep. y062 respaldo G012;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 G012/010220 G012·3A.jpg;010220 G012;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 G013;ILMA Espuma+guata prep. y062 brazo G013;azo G013;ILS Espuma+guata prep. y062 brazo G013;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 G013/010220 G013·3A.jpg;010220 G013;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 ST;ILMA Almohada asiento mod.Y062;;ILS Almohada asiento mod.Y062;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 ST/010220 ST·3A.jpg;010220 ST;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010220 TA;ILMA Tapa asiento fibra plumón sofá mod.Y062;sofá mod.Y062;ILS Tapa asiento fibra plumón sofá mod.Y062;;http://intranet.juliagrup.com/GestionDocumental/Documents/010220 TA/010220 TA·3A.jpg;010220 TA;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010221 BS;ILMA Base Guata 250g comp. m150 Y178-01; Y178-01;ILS Base Guata 250g comp. m150 Y178-01;;http://intranet.juliagrup.com/GestionDocumental/Documents/010221 BS/010221 BS·3A.jpg;010221 BS;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010221 ST;ILMA Espumas asiento Módulo 80 Y178-02;Y178-02;ILS Espumas asiento Módulo 80 Y178-02;;http://intranet.juliagrup.com/GestionDocumental/Documents/010221 ST/010221 ST·3A.jpg;010221 ST;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010308 0800190070 15;ILMA Plancha Espuma 800x1900x70 15k; 15k;ILS Plancha Espuma 800x1900x70 15k;;http://intranet.juliagrup.com/GestionDocumental/Documents/010308 0800190070 15/010308 0800190070 15·3A.jpg;010308 0800190070 15;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010310 BR10;ILMA Cj. Espuma Brazo 10 Azores 140/160; 140/160;ILS Cj. Espuma Brazo 10 Azores 140/160;;http://intranet.juliagrup.com/GestionDocumental/Documents/010310 BR10/010310 BR10·3A.jpg;010310 BR10;;;;;;;;;;PT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010310 BR10 25;ILMA Cj. Espuma Brazo 10 Azores 140/160 25kg Duro; 140/160 25kg Duro;ILS Cj. Espuma Brazo 10 Azores 140/160 25kg Duro;;http://intranet.juliagrup.com/GestionDocumental/Documents/010310 BR10 25/010310 BR10 25·3A.jpg;010310 BR10 25;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10317;ILMA Cj. espuma butaca Marthan;;ILS Cj. espuma butaca Marthan;;http://intranet.juliagrup.com/GestionDocumental/Documents/010317/010317·3A.jpg;10317;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010317 2P;ILMA Cj. espuma Marthan 2PL;;ILS Cj. espuma Marthan 2PL;;http://intranet.juliagrup.com/GestionDocumental/Documents/010317 2P/010317 2P·3A.jpg;010317 2P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10319;ILMA Fibra guata compacta puff Bogart;Bogart;ILS Fibra guata compacta puff Bogart;;http://intranet.juliagrup.com/GestionDocumental/Documents/010319/010319·3A.jpg;10319;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010408 0870187070 15;ILMA Plancha Espuma 870x1870x70 15k; 15k;ILS Plancha Espuma 870x1870x70 15k;;http://intranet.juliagrup.com/GestionDocumental/Documents/010408 0870187070 15/010408 0870187070 15·3A.jpg;010408 0870187070 15;;;;;;;;;;PT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010510 140;ILMA Conj. Fibra Azores/organic/kos/creta 140 Respal;/kos/creta 140 Respal;ILS Conj. Fibra Azores/organic/kos/creta 140 Respal;;http://intranet.juliagrup.com/GestionDocumental/Documents/010510 140/010510 140·3A.jpg;010510 140;;;;;;;;;;ES ;;;;;;;;;;;;;;;01/01/2013;;;;;;;;;;;;;;;;;;;;
010510 160;ILMA Conj. Fibra Azores/organic/kos/creta 160 Respal;/kos/creta 160 Respal;ILS Conj. Fibra Azores/organic/kos/creta 160 Respal;;http://intranet.juliagrup.com/GestionDocumental/Documents/010510 160/010510 160·3A.jpg;010510 160;;;;;;;;;;ES ;;;;;;;;;;;;;;;01/01/2013;;;;;;;;;;;;;;;;;;;;
010510 180;ILMA Conj. Fibra Big 180 Respaldo;do;ILS Conj. Fibra Big 180 Respaldo;;http://intranet.juliagrup.com/GestionDocumental/Documents/010510 180/010510 180·3A.jpg;010510 180;;;;;;;;;;ES ;;;;;;;;;;;;;;;01/01/2013;;;;;;;;;;;;;;;;;;;;
010513 035;ILMA Espuma  Ø35 30kg verde;;ILS Espuma  Ø35 30kg verde;;http://intranet.juliagrup.com/GestionDocumental/Documents/010513 035/010513 035·3A.jpg;010513 035;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010513 050;ILMA Espuma  Ø50 30kg verde;;ILS Espuma  Ø50 30kg verde;;http://intranet.juliagrup.com/GestionDocumental/Documents/010513 050/010513 050·3A.jpg;010513 050;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010516 140;ILMA Preparado Queen 140 (guata););ILS Preparado Queen 140 (guata);;http://intranet.juliagrup.com/GestionDocumental/Documents/010516 140/010516 140·3A.jpg;010516 140;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010516 160;ILMA Preparado Queen 160 (guata););ILS Preparado Queen 160 (guata);;http://intranet.juliagrup.com/GestionDocumental/Documents/010516 160/010516 160·3A.jpg;010516 160;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10616;ILMA Cj. espumas puf Kos;;ILS Cj. espumas puf Kos;;http://intranet.juliagrup.com/GestionDocumental/Documents/010616/010616·3A.jpg;10616;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010618 BR;ILMA Espuma + guata brazo Y017 Bogart;Bogart;ILS Espuma + guata brazo Y017 Bogart;;http://intranet.juliagrup.com/GestionDocumental/Documents/010618 BR/010618 BR·3A.jpg;010618 BR;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010618 BS 160;ILMA Espuma base Y017 + guata compacta 160cm;ompacta 160cm;ILS Espuma base Y017 + guata compacta 160cm;;http://intranet.juliagrup.com/GestionDocumental/Documents/010618 BS 160/010618 BS 160·3A.jpg;010618 BS 160;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010618 BS BUT;ILMA Guata base butaca Bogart Y017;17;ILS Guata base butaca Bogart Y017;;http://intranet.juliagrup.com/GestionDocumental/Documents/010618 BS BUT/010618 BS BUT·3A.jpg;010618 BS BUT;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010618 RL;ILMA Rulo sofá Y017 ud;;ILS Rulo sofá Y017 ud;;http://intranet.juliagrup.com/GestionDocumental/Documents/010618 RL/010618 RL·3A.jpg;010618 RL;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010618 RP 200;ILMA Respaldo fibra sofá Y017 200cm;00cm;ILS Respaldo fibra sofá Y017 200cm;;http://intranet.juliagrup.com/GestionDocumental/Documents/010618 RP 200/010618 RP 200·3A.jpg;010618 RP 200;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010618 ST 160;ILMA Espuma asiento y017 30kg+fibra 160cm;ibra 160cm;ILS Espuma asiento y017 30kg+fibra 160cm;;http://intranet.juliagrup.com/GestionDocumental/Documents/010618 ST 160/010618 ST 160·3A.jpg;010618 ST 160;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010618 ST 200;ILMA Espuma asiento y017 30kg+fibra 200cm;ibra 200cm;ILS Espuma asiento y017 30kg+fibra 200cm;;http://intranet.juliagrup.com/GestionDocumental/Documents/010618 ST 200/010618 ST 200·3A.jpg;010618 ST 200;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010619 RP;ILMA Espuma respaldo Y019 Compo;;ILS Espuma respaldo Y019 Compo;;http://intranet.juliagrup.com/GestionDocumental/Documents/010619 RP/010619 RP·3A.jpg;010619 RP;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 FPR 080;ILMA Fibra plumon respaldo de 80cm sofá Y024;0cm sofá Y024;ILS Fibra plumon respaldo de 80cm sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 FPR 080/010620 FPR 080·3A.jpg;010620 FPR 080;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 FPR RN;ILMA Y024 Fibra plumon respaldo rinconera; rinconera;ILS Y024 Fibra plumon respaldo rinconera;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 FPR RN/010620 FPR RN·3A.jpg;010620 FPR RN;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 G004;ILMA Y024-G004 esp. superior brazo;azo;ILS Y024-G004 esp. superior brazo;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 G004/010620 G004·3A.jpg;010620 G004;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 G006;ILMA Y024-G006 guata respaldo 3pl;pl;ILS Y024-G006 guata respaldo 3pl;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 G006/010620 G006·3A.jpg;010620 G006;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 G008;ILMA Y024-G008 fibra sup brazo;;ILS Y024-G008 fibra sup brazo;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 G008/010620 G008·3A.jpg;010620 G008;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 G009;ILMA Y024-G009 fibra frente brazo;zo;ILS Y024-G009 fibra frente brazo;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 G009/010620 G009·3A.jpg;010620 G009;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 G021;ILMA Y024-G021 Guata respaldo chaise 80;haise 80;ILS Y024-G021 Guata respaldo chaise 80;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 G021/010620 G021·3A.jpg;010620 G021;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 G022;ILMA Y024-G022 Asiento 30kg Y024 chaise 80 fr izq;4 chaise 80 fr izq;ILS Y024-G022 Asiento 30kg Y024 chaise 80 fr izq;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 G022/010620 G022·3A.jpg;010620 G022;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 G022D;ILMA Y024-G022 Asiento 30kg Y024 chaise 80 fr dcho;4 chaise 80 fr dcho;ILS Y024-G022 Asiento 30kg Y024 chaise 80 fr dcho;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 G022D/010620 G022D·3A.jpg;010620 G022D;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 G022I;ILMA Y024-G022 Asiento 30kg Y024 chaise 80 fr izq;4 chaise 80 fr izq;ILS Y024-G022 Asiento 30kg Y024 chaise 80 fr izq;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 G022I/010620 G022I·3A.jpg;010620 G022I;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 G025;ILMA Y024-G025 Espuma superior respaldo chaise 80;respaldo chaise 80;ILS Y024-G025 Espuma superior respaldo chaise 80;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 G025/010620 G025·3A.jpg;010620 G025;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 GB2;ILMA Guata base 2PL sofá Y024;;ILS Guata base 2PL sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 GB2/010620 GB2·3A.jpg;010620 GB2;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 GBCH80;ILMA Guata base chaise 80 sofá Y024;Y024;ILS Guata base chaise 80 sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 GBCH80/010620 GBCH80·3A.jpg;010620 GBCH80;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 GBM1P;ILMA Guata base módulo 1pl 87cm sofá Y024; sofá Y024;ILS Guata base módulo 1pl 87cm sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 GBM1P/010620 GBM1P·3A.jpg;010620 GBM1P;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 GBM1P 087;ILMA Guata base módulo 1pl 87cm sofá Y024; sofá Y024;ILS Guata base módulo 1pl 87cm sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 GBM1P 087/010620 GBM1P 087·3A.jpg;010620 GBM1P 087;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 GBM1P 107;ILMA Guata base módulo 1pl 107cm sofá Y024;m sofá Y024;ILS Guata base módulo 1pl 107cm sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 GBM1P 107/010620 GBM1P 107·3A.jpg;010620 GBM1P 107;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 GBM2P;ILMA Guata base módulo 2pl sofá Y024; Y024;ILS Guata base módulo 2pl sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 GBM2P/010620 GBM2P·3A.jpg;010620 GBM2P;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 GE001;ILMA Y024-GE001 fibra brazo ext;;ILS Y024-GE001 fibra brazo ext;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 GE001/010620 GE001·3A.jpg;010620 GE001;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 RL;ILMA Rulo sofá Y024 - G019;;ILS Rulo sofá Y024 - G019;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 RL/010620 RL·3A.jpg;010620 RL;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 TA80 CH;ILMA Tapa asiento fibra plumon chaise 80 dch/izq sofá Y024;chaise 80 dch/izq sofá Y024;ILS Tapa asiento fibra plumon chaise 80 dch/izq sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 TA80 CH/010620 TA80 CH·3A.jpg;010620 TA80 CH;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 TA80 CHDE;ILMA Tapa asiento fibra plumon ch 80 der. con espuma sofá Y0;ch 80 der. con espuma sofá Y02;ILS Tapa asiento fibra plumon ch 80 der. con espuma sofá Y02;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 TA80 CHDE/010620 TA80 CHDE·3A.jpg;010620 TA80 CHDE;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 TA80 CHI;ILMA Tapa asiento fibra plumon chaise 80 izquierda sofá Y024;chaise 80 izquierda sofá Y024;ILS Tapa asiento fibra plumon chaise 80 izquierda sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 TA80 CHI/010620 TA80 CHI·3A.jpg;010620 TA80 CHI;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 TA CHI;ILMA Tapa asiento fibra plumon chaise 100 izquierda sofá Y02;chaise 100 izquierda sofá Y024;ILS Tapa asiento fibra plumon chaise 100 izquierda sofá Y024;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 TA CHI/010620 TA CHI·3A.jpg;010620 TA CHI;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 TAE CHD;ILMA Y024 Tapa asiento chaise Dcho fibra plumon 100cm con es;cho fibra plumon 100cm con esp;ILS Y024 Tapa asiento chaise Dcho fibra plumon 100cm con esp;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 TAE CHD/010620 TAE CHD·3A.jpg;010620 TAE CHD;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010620 TAE RN;ILMA Y024 Tapa asiento rinconero fibra plumon 100cm con espu;o fibra plumon 100cm con espum;ILS Y024 Tapa asiento rinconero fibra plumon 100cm con espum;;http://intranet.juliagrup.com/GestionDocumental/Documents/010620 TAE RN/010620 TAE RN·3A.jpg;010620 TAE RN;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010712 140 30;ILMA Conj. Espuma Azo/Org/Que/Kos 140 asiento 30kg.;os 140 asiento 30kg.;ILS Conj. Espuma Azo/Org/Que/Kos 140 asiento 30kg.;;http://intranet.juliagrup.com/GestionDocumental/Documents/010712 140 30/010712 140 30·3A.jpg;010712 140 30;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010816 150;ILMA Cj. espuma cama Lydia 150cm;m;ILS Cj. espuma cama Lydia 150cm;;http://intranet.juliagrup.com/GestionDocumental/Documents/010816 150/010816 150·3A.jpg;010816 150;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10916;ILMA Espuma butaca Arty enguatado;do;ILS Espuma butaca Arty enguatado;;http://intranet.juliagrup.com/GestionDocumental/Documents/010916/010916·3A.jpg;10916;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010918 BR;ILMA Espuma + guata brazo mod.Y023;23;ILS Espuma + guata brazo mod.Y023;;http://intranet.juliagrup.com/GestionDocumental/Documents/010918 BR/010918 BR·3A.jpg;010918 BR;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010918 RN RP;ILMA Cj. espumas respaldo rinconera mod.Y023/Blok;nera mod.Y023/Blok;ILS Cj. espumas respaldo rinconera mod.Y023/Blok;;http://intranet.juliagrup.com/GestionDocumental/Documents/010918 RN RP/010918 RN RP·3A.jpg;010918 RN RP;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010918 RN ST;ILMA Cj. espumas asiento rinconera mod.Y023/Blok;era mod.Y023/Blok;ILS Cj. espumas asiento rinconera mod.Y023/Blok;;http://intranet.juliagrup.com/GestionDocumental/Documents/010918 RN ST/010918 RN ST·3A.jpg;010918 RN ST;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010918 ST180;ILMA Espuma + guata asiento 180 mod.Y023; mod.Y023;ILS Espuma + guata asiento 180 mod.Y023;;http://intranet.juliagrup.com/GestionDocumental/Documents/010918 ST180/010918 ST180·3A.jpg;010918 ST180;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010918 TR90;ILMA Espuma + guata respaldo 90 mod.Y023; mod.Y023;ILS Espuma + guata respaldo 90 mod.Y023;;http://intranet.juliagrup.com/GestionDocumental/Documents/010918 TR90/010918 TR90·3A.jpg;010918 TR90;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011013 160;ILMA Cj.esp.brazos+cabezal+rulo Big 160; Big 160;ILS Cj.esp.brazos+cabezal+rulo Big 160;;http://intranet.juliagrup.com/GestionDocumental/Documents/011013 160/011013 160·3A.jpg;011013 160;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11016;ILMA Espuma butaca Club;;ILS Espuma butaca Club;;http://intranet.juliagrup.com/GestionDocumental/Documents/011016/011016·3A.jpg;11016;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011019 140;ILMA Guata respaldo Queen 140;;ILS Guata respaldo Queen 140;;http://intranet.juliagrup.com/GestionDocumental/Documents/011019 140/011019 140·3A.jpg;011019 140;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011116 RP140I;ILMA Espuma respaldo izquierdo 140 Westriver;140 Westriver;ILS Espuma respaldo izquierdo 140 Westriver;;http://intranet.juliagrup.com/GestionDocumental/Documents/011116 RP140I/011116 RP140I·3A.jpg;011116 RP140I;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
011116 ST140;ILMA Goma asiento 30kg Westriver 140;r 140;ILS Goma asiento 30kg Westriver 140;;http://intranet.juliagrup.com/GestionDocumental/Documents/011116 ST140/011116 ST140·3A.jpg;011116 ST140;;;;;;;;;;ES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
