sku;descripcion;descripcion2;long_desc;img_ambiente;img;Cod_producto;Patas regulables (sí/no);Para uso interior (sí/no);Densidad de la espuma del respaldo;Plegable (sí/no);Acabado de las patas;Material de las patas;Reclinable (sí/no);Material del relleno del asiento;Número de plazas;País de origen;Para uso bajo cubierto (sí/no);Para uso exterior (sí/no);Materiales;Asiento acolchado (sí/no);Construcción de la estructura;Acabado principal;Tipo y especificación del tejido;Composición del tejido;Material del relleno;Densidad de la espuma;Forma del producto;Material principal;Color principal;Temporada;Año de publicación;Fabricado con materiales reciclados (sí/no);Fabricado con materiales naturales (sí/no);Colores;Temporada de compra;Tipo de silla;Color de la pata;Tapizado (sí/no);Color del tapizado;Tapizado abotonado (sí/no);Material principal de las patas;Tipo de tapizado del respaldo;Material principal del reposabrazos;Estilo principal;Tipo de base/pata;Estancias;Porcentaje de materiales reciclados;Porcentaje de materiales naturales;Resistencia a la formación de bolitas;Solidez del color a la luz;Código de muestra de color
CC1910R01;Aparador Shantay acero con acabado negro 160 x 72 cm;cm;Aparador Shantay acero con acabado negro 160 x 72 cm;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001220_0.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1910R01/CC1910R01·3A.jpg;CC1910R01;Sí;Sí;;No;Pintura en polvo, Mate;Hierro;;;;CN ;No;No;Hierro;;;Pintura en polvo, Mate;N/A;;;;Rectangular;Metal;Negro;;15/04/2020;No;No;Negro;;;Negro;N/A;;;Metal;;;;;Salón, Espacio de trabajo;;;;;
CC1916FN12;Sillón Leandra;;Sillón Leandra;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001126_0.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1916FN12/CC1916FN12·3A.jpg;CC1916FN12;No;Sí;;No;Pintura en polvo;Acero;No;N/A;1;ID ;No;No;Ratán, Acero;;Acero;Natural;N/A;;;;Cuadrada;Mimbre/Ratán/Otras fibras naturales;Natural;Verano;10/02/2020;No;Sí;Natural, Negro;SS20 S1 ;;;No;N/A;No;Metal;;;Colonial;;Jardín y terraza, Salón, Dormitorio;;< 25;;;
CC1933FN46;Mesita de noche Nalu de madera maciza de mindi 40 x 55 cm;x 55 cm;Mesita de noche Nalu de madera maciza de mindi 40 x 55 cm;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001120_4.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1933FN46/CC1933FN46·3A.jpg;CC1933FN46;No;Sí;;No;Transparente, Lacado;Madera de mindi (Melia azedarach);;;;ID ;No;No;Madera de mindi (Melia azedarach), Chapa de mindi (Melia azedarach), Ratán, Contrachapado;;;Transparente, Lacado;N/A;;;;Cuadrada;Madera maciza;Natural;Atemporal;10/01/2020;No;Sí;Natural;SS20 S1 ;;Natural;No;;;Madera maciza;;;Rústico;;Dormitorio;;;;;
CC1934FN46;Mueble TV Nalu de madera maciza de mindi y ratán 150 x 50 cm ;50 x 50 cm ;Mueble TV Nalu de madera maciza de mindi y ratán 150 x 50 cm ;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001130_0.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1934FN46/CC1934FN46·3A.jpg;CC1934FN46;No;Sí;;No;Transparente, Lacado;Madera de mindi (Melia azedarach);;;;ID ;No;No;Madera de mindi (Melia azedarach), Chapa de mindi (Melia azedarach), Ratán, Contrachapado;;;Transparente, Lacado;N/A;;;;Rectangular;Madera maciza;Natural;Atemporal;10/01/2020;No;Sí;Natural;SS20 S1 ;;Natural;No;;;Madera maciza;;;Rústico;;Salón;;;;;
CC1946M46;JEANETTE Mesa centro Ø80 madera teca    ;eca    ;IRUNE Mesa centro Ø80 madera teca    ;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001874_2-20220303100835.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1946M46/CC1946M46·3A.jpg;CC1946M46;No;Sí;;No;Transparente, Lacado;Madera de teca (Tectona grandis);;;2;ID ;Sí;No;Madera de teca (Tectona grandis);;;Transparente, Lacado;N/A;;;;Circular;Madera maciza;Natural;Atemporal;10/01/2020;No;Sí;Natural;SS20 S1 ;;Natural;No;;;Madera maciza;;;Rústico;;Salón;;;;;
CC1948P10;Taburete Calixta de madera maciza de teca altura 67 cm;7 cm;Taburete Calixta de madera maciza de teca altura 67 cm;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001125_0.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1948P10/CC1948P10·3A.jpg;CC1948P10;No;Sí;;No;Natural;Madera de teca (Tectona grandis);No;;1;ID ;No;No;Piel, Madera de teca (Tectona grandis);No;Madera maciza;Natural;Piel;100% Piel;N/A;;Rectangular;Madera maciza;Natural;Atemporal;10/01/2020;No;Sí;Natural;SS20 S1 ;N/A;Natural;No;N/A;No;Madera maciza;N/A;N/A;Rústico;4 patas;Cocina, Comedor;;;;;
CC1959M33;Aparador Alen madera maciza acacia 185 x 80 cm;;Aparador Alen madera maciza acacia 185 x 80 cm;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001429_18.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1959M33/CC1959M33·3A.jpg;CC1959M33;No;Sí;;No;Lacado en NC (Nitrocelulosa), Espray;Madera de acacia (Acacia auriculiformis);;;;VN ;No;No;Madera de acacia (Acacia auriculiformis), Chapa de acacia, MDF (tablero de fibra de densidad media);;;Lacado en NC (Nitrocelulosa), Espray;N/A;;;;Rectangular;Madera maciza;Natural;Atemporal;22/10/2020;No;Sí;Natural;AW20 FURNITURE ;;;No;;;Madera maciza;;;Rústico;;Salón, Espacio de trabajo, Comedor;;;;;
CC1962M33;Vitrina Alen de madera maciza de acacia 110 x 166 cm;cm;Vitrina Alen de madera maciza de acacia 110 x 166 cm;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001431_0.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1962M33/CC1962M33·3A.jpg;CC1962M33;No;Sí;;No;Lacado en NC (Nitrocelulosa), Espray;Madera de acacia (Acacia auriculiformis);;;;VN ;No;No;Madera de acacia (Acacia auriculiformis), Chapa de acacia, MDF (tablero de fibra de densidad media);;;Lacado en NC (Nitrocelulosa), Espray;N/A;;;;Rectangular;Madera maciza;Natural;Atemporal;22/10/2020;No;Sí;Natural;AW20 FURNITURE ;;;No;;;Madera maciza;;;Rústico;;Salón, Recibidor, Comedor, Espacio de trabajo, Cocina;;;;;
CC1966M03;Mueble de TV Indiann de madera maciza de acacia y acero acabado negro 210 x 45 cm;acero acabado negro 210 x 45 cm;Mueble de TV Indiann de madera maciza de acacia y acero acabado negro 210 x 45 cm;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001399_0.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1966M03/CC1966M03·3A.jpg;CC1966M03;Sí;Sí;;No;Pintura en polvo;Acero;;;;VN ;No;No;Madera de acacia (Acacia auriculiformis), Chapa de acacia, MDF (tablero de fibra de densidad media);;;Lacado en NC (Nitrocelulosa), Espray;N/A;;;;Rectangular;Madera maciza;Negro;Atemporal;22/10/2020;No;Sí;Negro;;;;No;;;Metal;;;Moderno;;Salón;;;;;
CC1972PR01;Mesa redonda Tella terrazo negro Ø 70 cm;;Mesa redonda Tella terrazo negro Ø 70 cm;https://storage.googleapis.com/web-pro-nilo-kavehome/media/catalog/product/A/0/A000001408_0-20211222093811.jpg;http://intranet.juliagrup.com/GestionDocumental/Documents/CC1972PR01/CC1972PR01·3A.jpg;CC1972PR01;No;Sí;;No;Pintura en polvo;Acero galvanizado;;;4;VN ;Sí;No;Terrazo, Acero galvanizado;;;;;;;;Circular;Piedra;Negro;Verano;07/01/2021;No;No;Negro;SS21 OUTDOOR ;;Negro;;;;;;;Moderno;;Jardín y terraza, Cocina, Salón;;;;;MTK0034
